Datei_ID,X,Y,F,Sensor R1,Sensor R2,Sensor R3,Sensor R4,Sensor R5,Sensor R6,Sensor R7,Sensor R8
760,-116.0,232.0,20.0,3.188625,2.9785,2.447375,2.351125,3.115375,3.145875,3.105375,3.012125
761,-116.0,174.0,20.0,3.17425,2.584625,2.543875,2.227375,3.131625,2.916875,3.08075,2.993
762,-116.0,116.0,20.0,3.1635,2.185875,2.6505,2.149625,3.160625,2.69225,3.078,2.979375
763,-116.0,58.0,20.0,3.17775,1.61225,2.773125,2.1437500000000003,3.19475,2.392875,3.0425,2.971375
764,-116.0,0.0,20.0,3.176625,1.176,2.892125,2.311875,3.2665,2.256375,3.00175,2.977375
765,-116.0,-58.0,20.0,3.019,1.658875,2.82,2.361,3.316625,2.4375,2.968625,2.95775
766,-116.0,-116.0,20.0,2.82,2.24325,2.767,2.346375,3.34625,2.739,2.958,2.94625
767,-116.0,-174.0,20.0,2.656,2.677125,2.766625,2.387125,3.36425,2.966125,2.950375,2.9655
768,-116.0,-232.0,20.0,2.48575,3.0696250000000003,2.79725,2.487375,3.392375,3.196875,2.969,3.03
769,-116.0,-290.0,20.0,2.526125,3.382375,2.869375,2.657625,3.421875,3.384125,3.0115,3.0755
770,-58.0,290.0,20.0,3.219625,3.3515,2.891875,2.258625,3.3036250000000003,3.42825,3.10075,2.959375
771,-58.0,232.0,20.0,3.170875,3.082625,2.84075,1.880375,3.23925,3.238625,3.111375,2.92725
772,-58.0,174.0,20.0,3.173625,2.695375,2.816875,1.788,3.23775,2.97125,3.0692500000000003,2.903875
773,-58.0,116.0,20.0,3.181,2.31575,2.850625,1.762125,3.257,2.7305,3.0645,2.888125
774,-58.0,58.0,20.0,3.192,1.90275,2.906375,1.867875,3.271625,2.389125,3.03825,2.875625
775,-58.0,0.0,20.0,3.182375,1.62075,2.9245,1.899125,3.294,2.24775,3.022,2.851625
776,-58.0,-58.0,20.0,3.10925,1.992375,2.871875,2.0005,3.323,2.501625,3.0085,2.85025
777,-58.0,-116.0,20.0,3.02025,2.39075,2.81975,2.069125,3.345125,2.788875,2.988875,2.86525
778,-58.0,-174.0,20.0,2.964125,2.8035,2.821375,2.119125,3.35475,3.0340000000000003,3.001375,2.879125
779,-58.0,-232.0,20.0,2.9326250000000003,3.1215,2.843125,2.174375,3.356375,3.234875,3.016,2.919125
780,-58.0,-290.0,20.0,2.976875,3.446875,2.9045,2.5067500000000003,3.400625,3.470625,3.070875,3.0345
781,0.0,290.0,20.0,3.217,3.38225,3.190875,0.444625,3.358375,3.446625,3.0616250000000003,2.8817500000000003
782,0.0,232.0,20.0,3.207875,3.13325,3.111,1.157125,3.26225,3.212125,3.0460000000000003,2.81575
783,0.0,174.0,20.0,3.212375,2.838125,3.049875,1.27875,3.2645,2.9638750000000003,3.044125,2.7865
784,0.0,116.0,20.0,3.217,2.54975,3.003375,1.398875,3.273375,2.7,3.04375,2.774125
785,0.0,58.0,20.0,3.225,2.1575,2.9685,1.554875,3.293375,2.36175,3.041125,2.747
786,0.0,0.0,20.0,3.220875,1.996875,2.938875,1.7025,3.3120000000000003,2.18,3.031125,2.697125
787,0.0,-58.0,20.0,3.19975,2.26675,2.9045,1.792125,3.304125,2.450625,3.0205,2.633625
788,0.0,-116.0,20.0,3.1915,2.631,2.8901250000000003,1.86375,3.298875,2.766,3.025625,2.603625
789,0.0,-174.0,20.0,3.18025,2.9515,2.873,1.91575,3.302,3.02725,3.042875,2.545625
790,0.0,-232.0,20.0,3.200875,3.223125,2.873625,2.02875,3.31225,3.250875,3.08175,2.541875
791,0.0,-290.0,20.0,3.313,3.465375,2.898625,2.24825,3.332125,3.4595,3.148,2.309
792,58.0,290.0,20.0,3.281,3.350375,3.127625,2.532375,2.8095,3.35575,3.0675,2.981
793,58.0,232.0,20.0,3.26575,3.0735,3.037,2.19775,2.74075,3.06475,3.02925,2.92075
794,58.0,174.0,20.0,3.2575000000000003,2.8025,2.9975,2.032125,2.895125,2.7715,3.012125,2.88275
795,58.0,116.0,20.0,3.25925,2.541625,2.9725,2.00575,3.059375,2.462125,3.01775,2.87525
796,58.0,58.0,20.0,3.247625,2.211625,2.9410000000000003,2.035,3.193,2.0085,3.024,2.86975
797,58.0,0.0,20.0,3.236375,2.083,2.939875,2.145625,3.28775,1.796,3.0345,2.888125
798,58.0,-58.0,20.0,3.21525,2.34075,2.943625,2.17,3.264125,2.19975,2.957875,2.84125
799,58.0,-116.0,20.0,3.2066250000000003,2.654125,2.934125,2.140125,3.227875,2.572875,2.8815,2.795625
800,58.0,-174.0,20.0,3.21075,2.94475,2.935125,2.2062500000000003,3.236125,2.8795,2.816,2.813375
801,58.0,-232.0,20.0,3.24075,3.211375,2.9435,2.337625,3.282,3.175875,2.77825,2.891875
802,58.0,-290.0,20.0,3.295375,3.438625,2.962875,2.53375,3.346625,3.42125,2.83225,2.926125
803,116.0,290.0,20.0,3.30275,3.278625,3.065375,2.75125,2.383125,3.329,3.07475,3.046625
804,116.0,232.0,20.0,3.287125,3.044875,2.99825,2.5355,2.307,3.0405,3.028375,3.012
805,116.0,174.0,20.0,3.2745,2.758625,2.94925,2.400375,2.503625,2.69075,3.003,2.9838750000000003
806,116.0,116.0,20.0,3.26325,2.462,2.92475,2.389125,2.791125,2.260375,3.009875,2.992
807,116.0,58.0,20.0,3.234125,2.136375,2.903875,2.379,3.06175,1.66425,3.015375,2.972875
808,116.0,0.0,20.0,3.210125,1.996125,2.910375,2.43125,3.27825,1.32625,3.006875,2.968125
809,116.0,-58.0,20.0,3.182125,2.247,2.930125,2.462625,3.234875,1.896625,2.86825,2.93875
810,116.0,-116.0,20.0,3.17575,2.594125,2.94475,2.500125,3.22675,2.41375,2.72375,2.945
811,116.0,-174.0,20.0,3.16825,2.873375,2.949875,2.519625,3.24125,2.83475,2.526625,2.96075
812,116.0,-232.0,20.0,3.172375,3.12825,2.955125,2.573,3.280125,3.142875,2.353625,2.9722500000000003
813,116.0,-290.0,20.0,3.224875,3.353125,2.9785,2.7465,3.375875,3.38775,2.507375,3.035875
814,174.0,290.0,20.0,3.324125,3.234875,3.044,2.894,2.0195,3.3325,3.092125,3.083625
815,174.0,232.0,20.0,3.30975,2.9965,2.9785,2.790625,1.895,3.021125,3.039,3.070125
816,174.0,174.0,20.0,3.289375,2.729625,2.93325,2.66075,2.313125,2.658875,3.015875,3.0420000000000003
817,174.0,116.0,20.0,3.270125,2.47875,2.911625,2.656375,2.605125,2.19875,3.021625,3.053875
818,174.0,58.0,20.0,3.237625,2.146875,2.89175,2.64075,3.047875,1.50925,3.046875,3.043875
819,174.0,0.0,20.0,3.202125,2.014125,2.898,2.684375,3.33075,0.974,3.019375,3.0387500000000003
820,174.0,-58.0,20.0,3.17825,2.255125,2.9295,2.67475,3.270125,1.78325,2.815,3.011625
821,174.0,-116.0,20.0,3.165,2.6048750000000003,2.947625,2.7138750000000003,3.2611250000000003,2.457,2.54825,3.028
822,174.0,-174.0,20.0,3.1555,2.829,2.957625,2.7022500000000003,3.267625,2.85125,2.26525,3.02225
823,174.0,-232.0,20.0,3.1590000000000003,3.065125,2.965875,2.747375,3.319,3.1425,1.991625,3.0383750000000003
824,174.0,-290.0,20.0,3.20325,3.318875,3.00075,2.912125,3.42975,3.4255,2.253375,3.109
825,232.0,290.0,20.0,3.3365,3.212125,3.040875,3.0315,1.4805,3.385125,3.085875,3.1135
826,232.0,232.0,20.0,3.319,3.012,2.9895,2.954625,1.61925,3.067625,3.0275,3.09925
827,232.0,174.0,20.0,3.30075,2.7995,2.954625,2.91925,2.081375,2.7763750000000003,3.01575,3.097875
828,232.0,116.0,20.0,3.2803750000000003,2.5812500000000003,2.929375,2.90425,2.600125,2.431,3.0383750000000003,3.1085000000000003
829,232.0,58.0,20.0,3.2491250000000003,2.289125,2.908875,2.9085,3.0805,1.65425,3.09475,3.121125
830,232.0,0.0,20.0,3.207375,2.139625,2.904,2.943125,3.48475,0.660625,3.0772500000000003,3.115125
831,232.0,-58.0,20.0,3.18925,2.4005,2.9365,2.92275,3.347375,1.98225,2.749625,3.0875
832,232.0,-116.0,20.0,3.18825,2.648,2.958875,2.904375,3.273625,2.601125,2.374875,3.09675
833,232.0,-174.0,20.0,3.182875,2.899875,2.9758750000000003,2.91225,3.27875,2.9865,1.97425,3.094875
834,232.0,-232.0,20.0,3.192875,3.110125,2.995875,2.942375,3.34,3.24625,1.5585,3.103125
835,232.0,-290.0,20.0,3.194,3.28175,3.012875,2.993625,3.4330000000000003,3.45375,1.64925,3.133125
836,290.0,290.0,20.0,3.35975,3.283875,3.078875,3.254875,0.74275,3.52425,3.077875,3.1481250000000003
837,290.0,232.0,20.0,3.331375,3.103,3.036875,3.215625,1.31425,3.261,3.0135,3.146
838,290.0,174.0,20.0,3.317625,2.945875,3.002375,3.1575,2.085375,3.0115,3.031625,3.1535
