channel names:							
001_-290_290_50 3 - Brücke (V/V) - R0__PXI1Slot2_ai0	001_-290_290_50 3 - Brücke (V/V) - R1__PXI1Slot2_ai1	001_-290_290_50 3 - Brücke (V/V) - R2__PXI1Slot2_ai2	001_-290_290_50 3 - Brücke (V/V) - R3__PXI1Slot2_ai3	001_-290_290_50 3 - Brücke (V/V) - R4__PXI1Slot2_ai4	001_-290_290_50 3 - Brücke (V/V) - R5__PXI1Slot2_ai5	001_-290_290_50 3 - Brücke (V/V) - R6__PXI1Slot2_ai6	001_-290_290_50 3 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 13:35:43,229154	23.05.2024 13:35:43,229154	23.05.2024 13:35:43,229154	23.05.2024 13:35:43,229154	23.05.2024 13:35:43,229154	23.05.2024 13:35:43,229154	23.05.2024 13:35:43,229154	23.05.2024 13:35:43,229154
dt:							
0,020000							
data:							
2,906060E-1	5,611813E-3	-7,332742E-1	3,220860E-1	-2,475036E-1	-5,120600E-1	-8,001568E-2	-1,212032E-1
2,905941E-1	5,754864E-3	-7,332146E-1	3,222767E-1	-2,475036E-1	-5,120004E-1	-8,000376E-2	-1,212867E-1
2,905345E-1	5,623734E-3	-7,332623E-1	3,220145E-1	-2,475989E-1	-5,120719E-1	-8,005145E-2	-1,212628E-1
2,904868E-1	5,409157E-3	-7,332385E-1	3,216568E-1	-2,475751E-1	-5,122269E-1	-8,021834E-2	-1,213344E-1
2,903676E-1	5,409157E-3	-7,331789E-1	3,214542E-1	-2,473367E-1	-5,122865E-1	-8,007529E-2	-1,214536E-1
2,903914E-1	5,504525E-3	-7,333219E-1	3,214661E-1	-2,475870E-1	-5,122984E-1	-7,986071E-2	-1,215132E-1
2,904629E-1	5,564129E-3	-7,333577E-1	3,217164E-1	-2,476228E-1	-5,121911E-1	-8,015873E-2	-1,214893E-1
2,906298E-1	5,814469E-3	-7,333219E-1	3,220979E-1	-2,475513E-1	-5,119050E-1	-7,988455E-2	-1,213344E-1
2,905702E-1	5,754864E-3	-7,334411E-1	3,220145E-1	-2,476585E-1	-5,119646E-1	-7,987263E-2	-1,214655E-1
2,903795E-1	5,564129E-3	-7,334054E-1	3,217045E-1	-2,474678E-1	-5,121792E-1	-7,990839E-2	-1,214774E-1
2,903914E-1	5,385315E-3	-7,333934E-1	3,215376E-1	-2,475036E-1	-5,123342E-1	-7,972958E-2	-1,214178E-1
2,902841E-1	5,361474E-3	-7,334411E-1	3,215138E-1	-2,475870E-1	-5,124534E-1	-7,976534E-2	-1,214417E-1
2,904272E-1	5,492604E-3	-7,333815E-1	3,217164E-1	-2,474797E-1	-5,123103E-1	-7,984879E-2	-1,214059E-1
2,904868E-1	5,564129E-3	-7,332146E-1	3,220383E-1	-2,471698E-1	-5,122030E-1	-7,972958E-2	-1,212032E-1
2,904629E-1	5,540287E-3	-7,332146E-1	3,221337E-1	-2,472890E-1	-5,120600E-1	-7,983687E-2	-1,210721E-1
2,904629E-1	5,409157E-3	-7,333338E-1	3,217999E-1	-2,473963E-1	-5,121196E-1	-8,015873E-2	-1,212390E-1
2,903318E-1	5,421078E-3	-7,333338E-1	3,217284E-1	-2,471698E-1	-5,122507E-1	-8,003953E-2	-1,213225E-1
2,903914E-1	5,480683E-3	-7,332742E-1	3,216568E-1	-2,475870E-1	-5,121315E-1	-8,021834E-2	-1,213225E-1
2,904272E-1	5,373394E-3	-7,332504E-1	3,215734E-1	-2,475632E-1	-5,122150E-1	-8,025410E-2	-1,212748E-1
2,905106E-1	5,432999E-3	-7,332862E-1	3,217760E-1	-2,475751E-1	-5,121077E-1	-7,990839E-2	-1,212271E-1
2,904749E-1	5,564129E-3	-7,333815E-1	3,217403E-1	-2,477658E-1	-5,120361E-1	-8,009913E-2	-1,212748E-1
2,904391E-1	5,492604E-3	-7,331669E-1	3,218237E-1	-2,476109E-1	-5,121315E-1	-8,005145E-2	-1,212152E-1
2,904749E-1	5,456841E-3	-7,332146E-1	3,216449E-1	-2,475751E-1	-5,121554E-1	-8,018258E-2	-1,211556E-1
2,904987E-1	5,432999E-3	-7,333219E-1	3,214661E-1	-2,474201E-1	-5,120838E-1	-7,996800E-2	-1,212271E-1
2,905822E-1	5,301869E-3	-7,331073E-1	3,218118E-1	-2,473009E-1	-5,119527E-1	-7,984879E-2	-1,211317E-1
2,905345E-1	5,599892E-3	-7,331789E-1	3,219906E-1	-2,477181E-1	-5,118931E-1	-7,976534E-2	-1,211794E-1
2,905226E-1	5,587971E-3	-7,331073E-1	3,220383E-1	-2,477658E-1	-5,119408E-1	-7,988455E-2	-1,211675E-1
2,905106E-1	5,564129E-3	-7,331550E-1	3,219549E-1	-2,477777E-1	-5,120481E-1	-7,990839E-2	-1,211317E-1
2,904749E-1	5,468762E-3	-7,332385E-1	3,215853E-1	-2,478493E-1	-5,122269E-1	-7,988455E-2	-1,212032E-1
2,905345E-1	5,432999E-3	-7,332385E-1	3,215495E-1	-2,476585E-1	-5,122388E-1	-8,018258E-2	-1,211913E-1
2,905106E-1	5,480683E-3	-7,332981E-1	3,217880E-1	-2,476109E-1	-5,121554E-1	-7,988455E-2	-1,212271E-1
2,905226E-1	5,611813E-3	-7,332385E-1	3,220145E-1	-2,475513E-1	-5,120481E-1	-7,983687E-2	-1,211794E-1
2,906179E-1	5,671418E-3	-7,332862E-1	3,221098E-1	-2,474797E-1	-5,119885E-1	-7,968190E-2	-1,211198E-1
2,906537E-1	5,826390E-3	-7,332385E-1	3,218833E-1	-2,475036E-1	-5,120719E-1	-7,966998E-2	-1,211913E-1
2,905464E-1	5,742943E-3	-7,332146E-1	3,215495E-1	-2,475632E-1	-5,122388E-1	-8,008721E-2	-1,213463E-1
2,902245E-1	5,576050E-3	-7,333219E-1	3,213230E-1	-2,475989E-1	-5,124295E-1	-8,003953E-2	-1,214774E-1
2,902722E-1	5,516446E-3	-7,332623E-1	3,215376E-1	-2,477658E-1	-5,124057E-1	-8,018258E-2	-1,215132E-1
2,904868E-1	5,468762E-3	-7,332146E-1	3,217522E-1	-2,477539E-1	-5,122865E-1	-8,005145E-2	-1,214774E-1
2,904749E-1	5,552208E-3	-7,331908E-1	3,217403E-1	-2,476824E-1	-5,121554E-1	-7,964613E-2	-1,213105E-1
2,905583E-1	5,611813E-3	-7,331312E-1	3,218833E-1	-2,476466E-1	-5,120957E-1	-7,965806E-2	-1,212032E-1
2,905941E-1	5,540287E-3	-7,332265E-1	3,217164E-1	-2,477062E-1	-5,122150E-1	-7,990839E-2	-1,212628E-1
2,904391E-1	5,564129E-3	-7,331193E-1	3,214780E-1	-2,476943E-1	-5,122865E-1	-7,982495E-2	-1,213821E-1
2,904629E-1	5,516446E-3	-7,331789E-1	3,214065E-1	-2,478016E-1	-5,123461E-1	-7,970574E-2	-1,214297E-1
2,905226E-1	5,552208E-3	-7,331908E-1	3,216330E-1	-2,478612E-1	-5,122150E-1	-7,978919E-2	-1,212986E-1
2,905106E-1	5,492604E-3	-7,332146E-1	3,218476E-1	-2,479685E-1	-5,121911E-1	-7,968190E-2	-1,211913E-1
2,904749E-1	5,432999E-3	-7,331789E-1	3,217403E-1	-2,480281E-1	-5,121434E-1	-7,969382E-2	-1,211198E-1
2,904749E-1	5,492604E-3	-7,331669E-1	3,216092E-1	-2,478612E-1	-5,122030E-1	-7,996800E-2	-1,212628E-1
2,904987E-1	5,516446E-3	-7,332623E-1	3,216568E-1	-2,478970E-1	-5,122626E-1	-8,003953E-2	-1,213463E-1
2,903318E-1	5,480683E-3	-7,331550E-1	3,217522E-1	-2,477062E-1	-5,122269E-1	-7,971766E-2	-1,213344E-1
2,904033E-1	5,611813E-3	-7,331789E-1	3,217403E-1	-2,475036E-1	-5,121792E-1	-7,978919E-2	-1,212271E-1
2,905345E-1	5,504525E-3	-7,332146E-1	3,218595E-1	-2,474320E-1	-5,121434E-1	-7,966998E-2	-1,212032E-1
2,903557E-1	5,564129E-3	-7,332027E-1	3,218476E-1	-2,474678E-1	-5,122150E-1	-7,983687E-2	-1,212032E-1
2,902603E-1	5,504525E-3	-7,332862E-1	3,218237E-1	-2,474082E-1	-5,121554E-1	-7,983687E-2	-1,212867E-1
2,903676E-1	5,409157E-3	-7,331431E-1	3,217522E-1	-2,474797E-1	-5,121673E-1	-7,988455E-2	-1,213701E-1
2,903795E-1	5,540287E-3	-7,331908E-1	3,217164E-1	-2,476705E-1	-5,122984E-1	-7,981303E-2	-1,212628E-1
2,902603E-1	5,528367E-3	-7,332146E-1	3,218953E-1	-2,479923E-1	-5,121434E-1	-7,977726E-2	-1,211436E-1
2,902364E-1	5,647576E-3	-7,331312E-1	3,218118E-1	-2,480639E-1	-5,121077E-1	-7,995608E-2	-1,212509E-1
2,902245E-1	5,719101E-3	-7,330716E-1	3,218833E-1	-2,479208E-1	-5,120957E-1	-7,995608E-2	-1,212152E-1
2,901292E-1	5,731022E-3	-7,331669E-1	3,217641E-1	-2,477777E-1	-5,121434E-1	-7,992032E-2	-1,213225E-1
2,900338E-1	5,838311E-3	-7,331550E-1	3,216211E-1	-2,476228E-1	-5,122030E-1	-7,976534E-2	-1,212509E-1
2,900696E-1	5,766785E-3	-7,329881E-1	3,216211E-1	-2,476466E-1	-5,122746E-1	-7,971766E-2	-1,213105E-1
2,899503E-1	5,778706E-3	-7,330358E-1	3,217045E-1	-2,476347E-1	-5,122865E-1	-7,977726E-2	-1,212509E-1
