channel names:							
011_290_290_50 - Brücke (V/V) - R0__PXI1Slot2_ai0	011_290_290_50 - Brücke (V/V) - R1__PXI1Slot2_ai1	011_290_290_50 - Brücke (V/V) - R2__PXI1Slot2_ai2	011_290_290_50 - Brücke (V/V) - R3__PXI1Slot2_ai3	011_290_290_50 - Brücke (V/V) - R4__PXI1Slot2_ai4	011_290_290_50 - Brücke (V/V) - R5__PXI1Slot2_ai5	011_290_290_50 - Brücke (V/V) - R6__PXI1Slot2_ai6	011_290_290_50 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310
dt:							
0,020000							
data:							
2,902245E-1	1,153651E-2	-7,323563E-1	2,304975E-1	-3,888977E-1	-5,166257E-1	-8,143427E-2	-9,962636E-2
2,903318E-1	1,151267E-2	-7,322252E-1	2,308194E-1	-3,890288E-1	-5,164469E-1	-8,121970E-2	-9,948331E-2
2,904153E-1	1,165572E-2	-7,322371E-1	2,311531E-1	-3,891480E-1	-5,163038E-1	-8,104088E-2	-9,936410E-2
2,904868E-1	1,173917E-2	-7,322490E-1	2,314035E-1	-3,891600E-1	-5,162442E-1	-8,085015E-2	-9,934026E-2
2,904749E-1	1,163188E-2	-7,322729E-1	2,311174E-1	-3,892673E-1	-5,162681E-1	-8,083823E-2	-9,935218E-2
2,902364E-1	1,158420E-2	-7,323921E-1	2,306286E-1	-3,889573E-1	-5,165661E-1	-8,093359E-2	-9,942371E-2
2,902961E-1	1,145307E-2	-7,322490E-1	2,306048E-1	-3,891123E-1	-5,167330E-1	-8,113625E-2	-9,951907E-2
2,903318E-1	1,153651E-2	-7,322371E-1	2,306882E-1	-3,891480E-1	-5,166495E-1	-8,090975E-2	-9,949523E-2
2,904033E-1	1,158420E-2	-7,322610E-1	2,313081E-1	-3,889692E-1	-5,163277E-1	-8,063557E-2	-9,928066E-2
2,905583E-1	1,163188E-2	-7,322133E-1	2,315346E-1	-3,891719E-1	-5,161608E-1	-8,069518E-2	-9,929258E-2
