channel names:							
010_232_290_50 - Brücke (V/V) - R0__PXI1Slot2_ai0	010_232_290_50 - Brücke (V/V) - R1__PXI1Slot2_ai1	010_232_290_50 - Brücke (V/V) - R2__PXI1Slot2_ai2	010_232_290_50 - Brücke (V/V) - R3__PXI1Slot2_ai3	010_232_290_50 - Brücke (V/V) - R4__PXI1Slot2_ai4	010_232_290_50 - Brücke (V/V) - R5__PXI1Slot2_ai5	010_232_290_50 - Brücke (V/V) - R6__PXI1Slot2_ai6	010_232_290_50 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 13:50:15,001016	23.05.2024 13:50:15,001016	23.05.2024 13:50:15,001016	23.05.2024 13:50:15,001016	23.05.2024 13:50:15,001016	23.05.2024 13:50:15,001016	23.05.2024 13:50:15,001016	23.05.2024 13:50:15,001016
dt:							
0,020000							
data:							
2,905226E-1	1,135770E-2	-7,394135E-1	2,322856E-1	-3,811133E-1	-5,167807E-1	-8,300784E-2	-9,336787E-2
2,905941E-1	1,145307E-2	-7,393301E-1	2,324883E-1	-3,811253E-1	-5,167688E-1	-8,316281E-2	-9,334403E-2
2,905226E-1	1,128618E-2	-7,394135E-1	2,324644E-1	-3,811610E-1	-5,167568E-1	-8,321049E-2	-9,332019E-2
2,904391E-1	1,129810E-2	-7,394374E-1	2,322260E-1	-3,810180E-1	-5,168641E-1	-8,337739E-2	-9,348708E-2
2,904272E-1	1,133386E-2	-7,395089E-1	2,319995E-1	-3,809226E-1	-5,168880E-1	-8,317473E-2	-9,346324E-2
2,905226E-1	1,144115E-2	-7,393777E-1	2,320949E-1	-3,809822E-1	-5,168999E-1	-8,313897E-2	-9,334403E-2
2,907490E-1	1,159612E-2	-7,393062E-1	2,324168E-1	-3,809464E-1	-5,167211E-1	-8,313897E-2	-9,330827E-2
2,907729E-1	1,166764E-2	-7,393777E-1	2,326790E-1	-3,809345E-1	-5,165780E-1	-8,317473E-2	-9,329635E-2
2,906179E-1	1,153651E-2	-7,393777E-1	2,327863E-1	-3,808392E-1	-5,166495E-1	-8,303168E-2	-9,326059E-2
2,905822E-1	1,151267E-2	-7,394493E-1	2,326552E-1	-3,807915E-1	-5,166853E-1	-8,296015E-2	-9,332019E-2
2,905583E-1	1,141731E-2	-7,394374E-1	2,322856E-1	-3,808511E-1	-5,167568E-1	-8,298399E-2	-9,336787E-2
2,905822E-1	1,151267E-2	-7,393539E-1	2,322856E-1	-3,806842E-1	-5,167807E-1	-8,305552E-2	-9,330827E-2
2,905822E-1	1,148883E-2	-7,394374E-1	2,324644E-1	-3,807319E-1	-5,167807E-1	-8,304360E-2	-9,336787E-2
2,905941E-1	1,164380E-2	-7,392228E-1	2,325121E-1	-3,809703E-1	-5,166853E-1	-8,309128E-2	-9,336787E-2
2,906775E-1	1,169149E-2	-7,392705E-1	2,325240E-1	-3,810061E-1	-5,167091E-1	-8,306744E-2	-9,337980E-2
2,906298E-1	1,160804E-2	-7,392943E-1	2,323691E-1	-3,809345E-1	-5,166972E-1	-8,311512E-2	-9,343940E-2
2,906418E-1	1,161996E-2	-7,391751E-1	2,321307E-1	-3,807080E-1	-5,167568E-1	-8,321049E-2	-9,340364E-2
2,906775E-1	1,165572E-2	-7,393420E-1	2,322260E-1	-3,805769E-1	-5,168045E-1	-8,318665E-2	-9,341556E-2
2,907371E-1	1,176301E-2	-7,393181E-1	2,324048E-1	-3,806723E-1	-5,167211E-1	-8,313897E-2	-9,342748E-2
2,907252E-1	1,176301E-2	-7,392943E-1	2,326194E-1	-3,809822E-1	-5,166019E-1	-8,293631E-2	-9,330827E-2
2,907014E-1	1,169149E-2	-7,392228E-1	2,327267E-1	-3,809584E-1	-5,166853E-1	-8,284094E-2	-9,329635E-2
2,906418E-1	1,163188E-2	-7,392824E-1	2,325837E-1	-3,808511E-1	-5,167211E-1	-8,293631E-2	-9,339172E-2
2,906179E-1	1,167957E-2	-7,393777E-1	2,323452E-1	-3,806007E-1	-5,168641E-1	-8,305552E-2	-9,352285E-2
2,902961E-1	1,158420E-2	-7,394016E-1	2,323214E-1	-3,808511E-1	-5,169237E-1	-8,331778E-2	-9,364206E-2
2,902126E-1	1,138154E-2	-7,394254E-1	2,321545E-1	-3,809464E-1	-5,168999E-1	-8,319857E-2	-9,368974E-2
2,902961E-1	1,142923E-2	-7,394374E-1	2,321783E-1	-3,804696E-1	-5,169237E-1	-8,288863E-2	-9,363014E-2
2,902841E-1	1,165572E-2	-7,394135E-1	2,324048E-1	-3,805173E-1	-5,167688E-1	-8,307936E-2	-9,347516E-2
2,904510E-1	1,166764E-2	-7,393301E-1	2,323691E-1	-3,807915E-1	-5,167568E-1	-8,332970E-2	-9,366590E-2
2,904510E-1	1,151267E-2	-7,394135E-1	2,323691E-1	-3,807676E-1	-5,168641E-1	-8,323433E-2	-9,351093E-2
2,904272E-1	1,157228E-2	-7,393897E-1	2,323691E-1	-3,807676E-1	-5,169237E-1	-8,296015E-2	-9,353477E-2
2,905941E-1	1,157228E-2	-7,392585E-1	2,321664E-1	-3,809107E-1	-5,168641E-1	-8,322241E-2	-9,355861E-2
2,906656E-1	1,154844E-2	-7,393658E-1	2,323691E-1	-3,807796E-1	-5,168522E-1	-8,310320E-2	-9,347516E-2
2,906537E-1	1,161996E-2	-7,393777E-1	2,324764E-1	-3,805769E-1	-5,168284E-1	-8,300784E-2	-9,345132E-2
2,907490E-1	1,154844E-2	-7,393420E-1	2,325717E-1	-3,808392E-1	-5,167330E-1	-8,303168E-2	-9,347516E-2
2,907252E-1	1,156036E-2	-7,392943E-1	2,324644E-1	-3,808153E-1	-5,168164E-1	-8,316281E-2	-9,346324E-2
2,906418E-1	1,152459E-2	-7,392585E-1	2,322260E-1	-3,807915E-1	-5,169118E-1	-8,297207E-2	-9,342748E-2
2,905464E-1	1,151267E-2	-7,393897E-1	2,321068E-1	-3,807319E-1	-5,170429E-1	-8,324625E-2	-9,337980E-2
2,906656E-1	1,160804E-2	-7,392466E-1	2,321545E-1	-3,807319E-1	-5,169953E-1	-8,344891E-2	-9,346324E-2
2,906418E-1	1,161996E-2	-7,392705E-1	2,323810E-1	-3,808511E-1	-5,169595E-1	-8,340123E-2	-9,341556E-2
2,905583E-1	1,156036E-2	-7,392705E-1	2,323572E-1	-3,810061E-1	-5,168999E-1	-8,350852E-2	-9,337980E-2
2,905702E-1	1,148883E-2	-7,392347E-1	2,323095E-1	-3,807199E-1	-5,169356E-1	-8,334162E-2	-9,334403E-2
2,905941E-1	1,141731E-2	-7,393539E-1	2,322022E-1	-3,806723E-1	-5,169833E-1	-8,346083E-2	-9,340364E-2
2,906179E-1	1,145307E-2	-7,392705E-1	2,322379E-1	-3,807915E-1	-5,170072E-1	-8,347275E-2	-9,353477E-2
2,906179E-1	1,147691E-2	-7,392347E-1	2,322260E-1	-3,804935E-1	-5,169476E-1	-8,334162E-2	-9,330827E-2
2,905941E-1	1,164380E-2	-7,392466E-1	2,322141E-1	-3,804338E-1	-5,168164E-1	-8,301976E-2	-9,328443E-2
2,906775E-1	1,160804E-2	-7,391036E-1	2,323214E-1	-3,808868E-1	-5,167807E-1	-8,304360E-2	-9,340364E-2
2,905702E-1	1,153651E-2	-7,392109E-1	2,320830E-1	-3,809703E-1	-5,169237E-1	-8,332970E-2	-9,340364E-2
2,904153E-1	1,148883E-2	-7,393658E-1	2,319876E-1	-3,806127E-1	-5,170787E-1	-8,329394E-2	-9,349900E-2
2,905226E-1	1,150075E-2	-7,393897E-1	2,322618E-1	-3,803981E-1	-5,169714E-1	-8,327010E-2	-9,347516E-2
2,906298E-1	1,167957E-2	-7,393062E-1	2,325121E-1	-3,805173E-1	-5,168045E-1	-8,327010E-2	-9,324867E-2
2,906537E-1	1,165572E-2	-7,393301E-1	2,329770E-1	-3,806007E-1	-5,167091E-1	-8,312705E-2	-9,330827E-2
2,906060E-1	1,154844E-2	-7,393897E-1	2,329532E-1	-3,804338E-1	-5,166734E-1	-8,293631E-2	-9,333211E-2
2,905464E-1	1,151267E-2	-7,392109E-1	2,327267E-1	-3,804815E-1	-5,168045E-1	-8,324625E-2	-9,328443E-2
2,902841E-1	1,145307E-2	-7,393420E-1	2,323214E-1	-3,805173E-1	-5,169953E-1	-8,343699E-2	-9,353477E-2
2,900815E-1	1,131002E-2	-7,394850E-1	2,319042E-1	-3,807438E-1	-5,171979E-1	-8,341315E-2	-9,374934E-2
2,902126E-1	1,128618E-2	-7,393301E-1	2,319995E-1	-3,802789E-1	-5,170429E-1	-8,348467E-2	-9,360629E-2
2,904272E-1	1,141731E-2	-7,392943E-1	2,324048E-1	-3,804577E-1	-5,168760E-1	-8,331778E-2	-9,360629E-2
2,904987E-1	1,152459E-2	-7,391393E-1	2,326194E-1	-3,807319E-1	-5,166853E-1	-8,325818E-2	-9,347516E-2
2,905583E-1	1,158420E-2	-7,392228E-1	2,323691E-1	-3,806365E-1	-5,167688E-1	-8,303168E-2	-9,330827E-2
2,904868E-1	1,141731E-2	-7,394135E-1	2,321187E-1	-3,805173E-1	-5,169714E-1	-8,299592E-2	-9,342748E-2
2,903318E-1	1,138154E-2	-7,393181E-1	2,319518E-1	-3,805054E-1	-5,169953E-1	-8,327010E-2	-9,373742E-2
2,903557E-1	1,135770E-2	-7,392824E-1	2,320591E-1	-3,804458E-1	-5,169953E-1	-8,322241E-2	-9,376127E-2
2,904391E-1	1,153651E-2	-7,392347E-1	2,324525E-1	-3,804935E-1	-5,167688E-1	-8,310320E-2	-9,347516E-2
2,906418E-1	1,161996E-2	-7,392705E-1	2,325121E-1	-3,803862E-1	-5,167091E-1	-8,278134E-2	-9,326059E-2
2,906060E-1	1,148883E-2	-7,392585E-1	2,324525E-1	-3,802908E-1	-5,168880E-1	-8,291247E-2	-9,352285E-2
2,904153E-1	1,148883E-2	-7,393420E-1	2,321664E-1	-3,803862E-1	-5,169953E-1	-8,316281E-2	-9,364206E-2
2,903914E-1	1,142923E-2	-7,393181E-1	2,321545E-1	-3,803027E-1	-5,170787E-1	-8,355620E-2	-9,359437E-2
2,906179E-1	1,157228E-2	-7,393181E-1	2,324883E-1	-3,804219E-1	-5,168999E-1	-8,335354E-2	-9,345132E-2
2,907133E-1	1,173917E-2	-7,393062E-1	2,325360E-1	-3,805769E-1	-5,167807E-1	-8,325818E-2	-9,345132E-2
2,905583E-1	1,167957E-2	-7,391870E-1	2,325002E-1	-3,802908E-1	-5,167926E-1	-8,325818E-2	-9,323674E-2
