Datei_ID,X,Y,F,Sensor R1,Sensor R2,Sensor R3,Sensor R4,Sensor R5,Sensor R6,Sensor R7,Sensor R8,Class
19,-232,-174,20,1.898125,2.70875,2.5815,2.839125,3.374625,2.970625,2.9785,3.112,7
20,-232,-232,20,1.442375,3.09875,2.6275,2.83875,3.405125,3.129125,2.975625,3.11425,7
21,-232,-290,20,1.23675,3.458875,2.755625,2.9017500000000003,3.442,3.295,2.99975,3.143125,7
22,-174,290,20,3.277375,3.3735,2.396625,2.772875,3.154125,3.34675,3.145125,3.071,1
23,-174,232,20,3.218375,3.0675,2.087125,2.617625,3.103375,3.147625,3.113875,3.049125,1
24,-174,174,20,3.184625,2.68725,2.248375,2.553,3.115875,2.944875,3.089875,3.0515,1
25,-174,116,20,3.1745,2.144375,2.41475,2.490375,3.140375,2.683125,3.061125,3.031375,1
26,-174,58,20,3.200375,1.338875,2.648875,2.5111250000000003,3.178375,2.389,3.021125,3.03725,4
27,-174,0,20,3.165625,0.73475,2.857375,2.55075,3.236875,2.2575,2.98225,3.021125,4
28,-174,-58,20,2.889875,1.561375,2.769,2.609875,3.3055,2.479625,2.9602500000000003,3.018125,4
29,-174,-116,20,2.571,2.192875,2.696125,2.599625,3.3436250000000003,2.742625,2.950125,3.022,7
30,-174,-174,20,2.2715,2.663125,2.695,2.615625,3.375125,2.954875,2.9435,3.0355,7
31,-174,-232,20,1.94875,3.049125,2.723375,2.688625,3.404375,3.152625,2.9595,3.07425,7
32,-174,-290,20,1.992375,3.397125,2.830375,2.800375,3.43675,3.325125,2.998125,3.109375,7
33,-116,290,20,3.232125,3.302625,2.614375,2.521625,3.175125,3.34975,3.1241250000000003,3.018625,1
34,-116,232,20,3.188625,2.9785,2.447375,2.351125,3.115375,3.145875,3.105375,3.012125,1
35,-116,174,20,3.17425,2.584625,2.543875,2.227375,3.131625,2.916875,3.08075,2.993,1
36,-116,116,20,3.1635,2.185875,2.6505,2.149625,3.160625,2.69225,3.078,2.979375,1
37,-116,58,20,3.17775,1.61225,2.773125,2.1437500000000003,3.19475,2.392875,3.0425,2.971375,4
38,-116,0,20,3.176625,1.176,2.892125,2.311875,3.2665,2.256375,3.00175,2.977375,4
39,-116,-58,20,3.019,1.658875,2.82,2.361,3.316625,2.4375,2.968625,2.95775,4
40,-116,-116,20,2.82,2.24325,2.767,2.346375,3.34625,2.739,2.958,2.94625,7
41,-116,-174,20,2.656,2.677125,2.766625,2.387125,3.36425,2.966125,2.950375,2.9655,7
42,-116,-232,20,2.48575,3.0696250000000003,2.79725,2.487375,3.392375,3.196875,2.969,3.03,7
43,-116,-290,20,2.526125,3.382375,2.869375,2.657625,3.421875,3.384125,3.0115,3.0755,7
44,-58,290,20,3.219625,3.3515,2.891875,2.258625,3.3036250000000003,3.42825,3.10075,2.959375,2
45,-58,232,20,3.170875,3.082625,2.84075,1.880375,3.23925,3.238625,3.111375,2.92725,2
46,-58,174,20,3.173625,2.695375,2.816875,1.788,3.23775,2.97125,3.0692500000000003,2.903875,2
47,-58,116,20,3.181,2.31575,2.850625,1.762125,3.257,2.7305,3.0645,2.888125,2
48,-58,58,20,3.192,1.90275,2.906375,1.867875,3.271625,2.389125,3.03825,2.875625,5
49,-58,0,20,3.182375,1.62075,2.9245,1.899125,3.294,2.24775,3.022,2.851625,5
50,-58,-58,20,3.10925,1.992375,2.871875,2.0005,3.323,2.501625,3.0085,2.85025,5
