channel names:							
022_290_232_50 1 - Brücke (V/V) - R0__PXI1Slot2_ai0	022_290_232_50 1 - Brücke (V/V) - R1__PXI1Slot2_ai1	022_290_232_50 1 - Brücke (V/V) - R2__PXI1Slot2_ai2	022_290_232_50 1 - Brücke (V/V) - R3__PXI1Slot2_ai3	022_290_232_50 1 - Brücke (V/V) - R4__PXI1Slot2_ai4	022_290_232_50 1 - Brücke (V/V) - R5__PXI1Slot2_ai5	022_290_232_50 1 - Brücke (V/V) - R6__PXI1Slot2_ai6	022_290_232_50 1 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 15:08:58,501185	23.05.2024 15:08:58,501185	23.05.2024 15:08:58,501185	23.05.2024 15:08:58,501185	23.05.2024 15:08:58,501185	23.05.2024 15:08:58,501185	23.05.2024 15:08:58,501185	23.05.2024 15:08:58,501185
dt:							
0,020000							
data:							
2,970791E-1	1,911823E-2	-7,274330E-1	2,343956E-1	-5,592359E-1	-4,322732E-1	-5,136969E-2	-1,032622E-1
2,971029E-1	1,916591E-2	-7,273495E-1	2,344195E-1	-5,593431E-1	-4,322851E-1	-5,138161E-2	-1,033219E-1
2,969837E-1	1,902286E-2	-7,273615E-1	2,343241E-1	-5,592359E-1	-4,322971E-1	-5,141737E-2	-1,033338E-1
2,969002E-1	1,884404E-2	-7,273972E-1	2,339307E-1	-5,592835E-1	-4,324401E-1	-5,128624E-2	-1,033576E-1
2,969479E-1	1,895133E-2	-7,273138E-1	2,336685E-1	-5,594624E-1	-4,325593E-1	-5,148890E-2	-1,032622E-1
2,970195E-1	1,891557E-2	-7,273972E-1	2,338592E-1	-5,592955E-1	-4,325355E-1	-5,135777E-2	-1,033338E-1
2,971029E-1	1,893941E-2	-7,274091E-1	2,339665E-1	-5,596412E-1	-4,324639E-1	-5,117896E-2	-1,032980E-1
2,969956E-1	1,908246E-2	-7,274211E-1	2,339784E-1	-5,595935E-1	-4,324282E-1	-5,136969E-2	-1,032503E-1
2,970433E-1	1,893941E-2	-7,273853E-1	2,340738E-1	-5,594862E-1	-4,323567E-1	-5,131009E-2	-1,032861E-1
2,970552E-1	1,902286E-2	-7,275045E-1	2,340976E-1	-5,596173E-1	-4,324520E-1	-5,129817E-2	-1,033219E-1
2,969599E-1	1,889173E-2	-7,274091E-1	2,339784E-1	-5,593908E-1	-4,324997E-1	-5,145314E-2	-1,034291E-1
2,969956E-1	1,886789E-2	-7,275283E-1	2,340499E-1	-5,594147E-1	-4,324759E-1	-5,132201E-2	-1,033695E-1
2,969956E-1	1,889173E-2	-7,275403E-1	2,341453E-1	-5,592955E-1	-4,325235E-1	-5,120280E-2	-1,033457E-1
2,970314E-1	1,889173E-2	-7,274807E-1	2,342407E-1	-5,593789E-1	-4,324878E-1	-5,127432E-2	-1,033219E-1
2,970075E-1	1,884404E-2	-7,274687E-1	2,343956E-1	-5,594385E-1	-4,325474E-1	-5,117896E-2	-1,031907E-1
2,970075E-1	1,891557E-2	-7,274330E-1	2,344433E-1	-5,592716E-1	-4,324759E-1	-5,116704E-2	-1,032622E-1
2,970910E-1	1,878444E-2	-7,274091E-1	2,343837E-1	-5,591643E-1	-4,324759E-1	-5,125048E-2	-1,032384E-1
2,970195E-1	1,870099E-2	-7,273376E-1	2,340738E-1	-5,590332E-1	-4,325355E-1	-5,136969E-2	-1,032861E-1
2,969002E-1	1,872483E-2	-7,274091E-1	2,340022E-1	-5,592359E-1	-4,326666E-1	-5,127432E-2	-1,033219E-1
2,968883E-1	1,866523E-2	-7,273376E-1	2,339188E-1	-5,592597E-1	-4,326904E-1	-5,126240E-2	-1,034172E-1
2,969002E-1	1,879636E-2	-7,273376E-1	2,340380E-1	-5,594385E-1	-4,326189E-1	-5,142930E-2	-1,034768E-1
2,970433E-1	1,895133E-2	-7,274687E-1	2,341811E-1	-5,593431E-1	-4,324282E-1	-5,140545E-2	-1,033576E-1
2,971744E-1	1,893941E-2	-7,274330E-1	2,345148E-1	-5,592359E-1	-4,323447E-1	-5,139353E-2	-1,032146E-1
2,971148E-1	1,892749E-2	-7,273734E-1	2,345029E-1	-5,593193E-1	-4,323567E-1	-5,142930E-2	-1,031907E-1
2,970314E-1	1,884404E-2	-7,272780E-1	2,341095E-1	-5,593670E-1	-4,325593E-1	-5,148890E-2	-1,033934E-1
2,969718E-1	1,874868E-2	-7,273138E-1	2,336804E-1	-5,592597E-1	-4,326428E-1	-5,147698E-2	-1,033576E-1
2,968883E-1	1,862947E-2	-7,273615E-1	2,337757E-1	-5,592478E-1	-4,327262E-1	-5,131009E-2	-1,033457E-1
2,971148E-1	1,895133E-2	-7,273257E-1	2,341453E-1	-5,596531E-1	-4,325951E-1	-5,133393E-2	-1,031788E-1
2,972221E-1	1,907054E-2	-7,271946E-1	2,344076E-1	-5,596531E-1	-4,323805E-1	-5,139353E-2	-1,032026E-1
2,971506E-1	1,897517E-2	-7,273018E-1	2,345625E-1	-5,595816E-1	-4,322851E-1	-5,109551E-2	-1,030238E-1
2,971744E-1	1,899902E-2	-7,272899E-1	2,344195E-1	-5,594743E-1	-4,324043E-1	-5,119088E-2	-1,028450E-1
2,971387E-1	1,903478E-2	-7,272184E-1	2,341334E-1	-5,593193E-1	-4,325712E-1	-5,127432E-2	-1,030715E-1
2,969837E-1	1,891557E-2	-7,271588E-1	2,340022E-1	-5,592359E-1	-4,326428E-1	-5,127432E-2	-1,031430E-1
2,969599E-1	1,889173E-2	-7,272065E-1	2,339784E-1	-5,591882E-1	-4,325951E-1	-5,140545E-2	-1,031073E-1
2,971625E-1	1,885597E-2	-7,272065E-1	2,340976E-1	-5,593670E-1	-4,324401E-1	-5,114319E-2	-1,029761E-1
2,972102E-1	1,891557E-2	-7,272899E-1	2,342407E-1	-5,592239E-1	-4,323447E-1	-5,104783E-2	-1,030119E-1
2,971029E-1	1,898710E-2	-7,272542E-1	2,343241E-1	-5,594743E-1	-4,322732E-1	-5,107167E-2	-1,031550E-1
2,970433E-1	1,885597E-2	-7,272303E-1	2,342645E-1	-5,591524E-1	-4,324520E-1	-5,111935E-2	-1,031311E-1
2,971148E-1	1,889173E-2	-7,272065E-1	2,341095E-1	-5,591166E-1	-4,324639E-1	-5,125048E-2	-1,032384E-1
2,970433E-1	1,892749E-2	-7,272661E-1	2,339784E-1	-5,593908E-1	-4,325832E-1	-5,122664E-2	-1,032265E-1
2,970552E-1	1,895133E-2	-7,272422E-1	2,341453E-1	-5,591286E-1	-4,324163E-1	-5,129817E-2	-1,031311E-1
2,971267E-1	1,901094E-2	-7,271826E-1	2,343718E-1	-5,593431E-1	-4,324520E-1	-5,123856E-2	-1,031669E-1
2,971267E-1	1,890365E-2	-7,272542E-1	2,344791E-1	-5,593670E-1	-4,324520E-1	-5,120280E-2	-1,032384E-1
2,969956E-1	1,890365E-2	-7,272422E-1	2,342168E-1	-5,593312E-1	-4,324759E-1	-5,125048E-2	-1,032742E-1
2,969479E-1	1,883212E-2	-7,274211E-1	2,337996E-1	-5,594147E-1	-4,326308E-1	-5,131009E-2	-1,033338E-1
2,970671E-1	1,882020E-2	-7,273615E-1	2,338115E-1	-5,591405E-1	-4,325951E-1	-5,136969E-2	-1,034291E-1
2,969599E-1	1,890365E-2	-7,272422E-1	2,340142E-1	-5,592955E-1	-4,325832E-1	-5,132201E-2	-1,033576E-1
2,970552E-1	1,893941E-2	-7,273138E-1	2,341095E-1	-5,594624E-1	-4,324639E-1	-5,133393E-2	-1,033934E-1
2,970195E-1	1,885597E-2	-7,271350E-1	2,342764E-1	-5,593312E-1	-4,324997E-1	-5,141737E-2	-1,034291E-1
2,969122E-1	1,889173E-2	-7,273257E-1	2,340618E-1	-5,595220E-1	-4,325593E-1	-5,128624E-2	-1,034172E-1
2,970075E-1	1,897517E-2	-7,273615E-1	2,339784E-1	-5,593789E-1	-4,326070E-1	-5,141737E-2	-1,034411E-1
2,970552E-1	1,889173E-2	-7,272422E-1	2,340142E-1	-5,591882E-1	-4,325474E-1	-5,144122E-2	-1,034291E-1
