channel names:							
012_-290_232_50 - Brücke (V/V) - R0__PXI1Slot2_ai0	012_-290_232_50 - Brücke (V/V) - R1__PXI1Slot2_ai1	012_-290_232_50 - Brücke (V/V) - R2__PXI1Slot2_ai2	012_-290_232_50 - Brücke (V/V) - R3__PXI1Slot2_ai3	012_-290_232_50 - Brücke (V/V) - R4__PXI1Slot2_ai4	012_-290_232_50 - Brücke (V/V) - R5__PXI1Slot2_ai5	012_-290_232_50 - Brücke (V/V) - R6__PXI1Slot2_ai6	012_-290_232_50 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497
dt:							
0,020000							
data:							
3,064370E-1	1,991693E-2	-7,087886E-1	2,379600E-1	-3,989113E-1	-4,223073E-1	-4,917624E-2	-3,363210E-2
3,064608E-1	1,998845E-2	-7,087171E-1	2,384130E-1	-3,990424E-1	-4,221523E-1	-4,908087E-2	-3,352481E-2
3,064012E-1	2,004806E-2	-7,086575E-1	2,383295E-1	-3,992570E-1	-4,221285E-1	-4,909279E-2	-3,357249E-2
3,064012E-1	2,001230E-2	-7,086933E-1	2,380554E-1	-3,991735E-1	-4,222954E-1	-4,908087E-2	-3,358442E-2
3,063416E-1	1,991693E-2	-7,086456E-1	2,377931E-1	-3,994239E-1	-4,224265E-1	-4,924777E-2	-3,363210E-2
3,062582E-1	1,992885E-2	-7,086575E-1	2,376858E-1	-3,992928E-1	-4,224146E-1	-4,912856E-2	-3,366786E-2
3,064012E-1	2,008382E-2	-7,086456E-1	2,378408E-1	-3,993762E-1	-4,222835E-1	-4,904511E-2	-3,370363E-2
3,064251E-1	2,009574E-2	-7,086456E-1	2,381269E-1	-3,993285E-1	-4,221643E-1	-4,894974E-2	-3,357249E-2
3,064370E-1	2,011958E-2	-7,086456E-1	2,381388E-1	-3,991497E-1	-4,222477E-1	-4,880669E-2	-3,348905E-2
3,064251E-1	2,000037E-2	-7,086218E-1	2,379123E-1	-3,991259E-1	-4,223431E-1	-4,898551E-2	-3,364402E-2
3,062582E-1	1,990501E-2	-7,087052E-1	2,376262E-1	-3,990305E-1	-4,225100E-1	-4,899743E-2	-3,364402E-2
3,063297E-1	1,992885E-2	-7,086814E-1	2,377097E-1	-3,987563E-1	-4,224861E-1	-4,892590E-2	-3,364402E-2
3,063655E-1	1,990501E-2	-7,086218E-1	2,379600E-1	-3,988994E-1	-4,222715E-1	-4,891398E-2	-3,356057E-2
3,064489E-1	2,003614E-2	-7,085741E-1	2,385084E-1	-3,989947E-1	-4,220570E-1	-4,867556E-2	-3,351289E-2
3,064966E-1	2,010766E-2	-7,085502E-1	2,386276E-1	-3,992332E-1	-4,220570E-1	-4,885437E-2	-3,350097E-2
3,065085E-1	2,000037E-2	-7,087648E-1	2,383534E-1	-3,992212E-1	-4,221762E-1	-4,881861E-2	-3,346521E-2
3,064251E-1	1,986924E-2	-7,087171E-1	2,381507E-1	-3,991378E-1	-4,223192E-1	-4,892590E-2	-3,354865E-2
3,064370E-1	1,990501E-2	-7,087171E-1	2,380196E-1	-3,992093E-1	-4,224027E-1	-4,903319E-2	-3,356057E-2
3,065562E-1	2,003614E-2	-7,085621E-1	2,382342E-1	-3,990186E-1	-4,223431E-1	-4,904511E-2	-3,351289E-2
3,066396E-1	2,004806E-2	-7,085383E-1	2,385799E-1	-3,990067E-1	-4,221285E-1	-4,889014E-2	-3,352481E-2
3,065800E-1	2,011958E-2	-7,085145E-1	2,386514E-1	-3,989709E-1	-4,220689E-1	-4,880669E-2	-3,346521E-2
3,065204E-1	2,004806E-2	-7,085383E-1	2,384368E-1	-3,991020E-1	-4,220927E-1	-4,909279E-2	-3,345329E-2
3,064012E-1	1,990501E-2	-7,085860E-1	2,379719E-1	-3,993285E-1	-4,223431E-1	-4,933121E-2	-3,366786E-2
3,063535E-1	1,986924E-2	-7,087052E-1	2,375785E-1	-3,991735E-1	-4,225577E-1	-4,943850E-2	-3,373939E-2
3,063535E-1	1,979772E-2	-7,086694E-1	2,375785E-1	-3,990543E-1	-4,225100E-1	-4,923584E-2	-3,370363E-2
3,064370E-1	1,992885E-2	-7,087290E-1	2,378765E-1	-3,992808E-1	-4,224623E-1	-4,905703E-2	-3,369170E-2
3,066516E-1	2,008382E-2	-7,086575E-1	2,382342E-1	-3,989590E-1	-4,222119E-1	-4,902127E-2	-3,352481E-2
3,065920E-1	2,000037E-2	-7,086694E-1	2,384130E-1	-3,992928E-1	-4,222477E-1	-4,867556E-2	-3,341752E-2
3,065562E-1	2,001230E-2	-7,087052E-1	2,379123E-1	-3,990305E-1	-4,223908E-1	-4,883053E-2	-3,356057E-2
3,064966E-1	1,984540E-2	-7,086814E-1	2,377335E-1	-3,989113E-1	-4,225696E-1	-4,898551E-2	-3,370363E-2
3,064728E-1	1,979772E-2	-7,087767E-1	2,378885E-1	-3,988636E-1	-4,226053E-1	-4,902127E-2	-3,379899E-2
3,065204E-1	1,998845E-2	-7,086933E-1	2,381269E-1	-3,990305E-1	-4,223073E-1	-4,899743E-2	-3,378707E-2
3,066158E-1	2,003614E-2	-7,086814E-1	2,385322E-1	-3,990424E-1	-4,221523E-1	-4,878285E-2	-3,359634E-2
3,066277E-1	2,010766E-2	-7,085979E-1	2,386156E-1	-3,991735E-1	-4,220689E-1	-4,846098E-2	-3,350097E-2
3,066158E-1	2,000037E-2	-7,086337E-1	2,383653E-1	-3,991020E-1	-4,222358E-1	-4,869940E-2	-3,363210E-2
3,064608E-1	1,992885E-2	-7,086337E-1	2,379481E-1	-3,988874E-1	-4,224146E-1	-4,887822E-2	-3,372747E-2
3,063774E-1	1,985732E-2	-7,086337E-1	2,377693E-1	-3,990543E-1	-4,224742E-1	-4,892590E-2	-3,375131E-2
3,063655E-1	1,989309E-2	-7,085741E-1	2,377812E-1	-3,988159E-1	-4,224384E-1	-4,894974E-2	-3,362018E-2
3,064966E-1	1,992885E-2	-7,086814E-1	2,380434E-1	-3,987921E-1	-4,222358E-1	-4,869940E-2	-3,359634E-2
3,064012E-1	1,992885E-2	-7,087767E-1	2,382461E-1	-3,988636E-1	-4,221881E-1	-4,884245E-2	-3,358442E-2
3,064012E-1	2,001230E-2	-7,087171E-1	2,382938E-1	-3,987682E-1	-4,221881E-1	-4,890206E-2	-3,353673E-2
3,064370E-1	2,007190E-2	-7,087529E-1	2,381746E-1	-3,990424E-1	-4,221643E-1	-4,898551E-2	-3,364402E-2
3,064966E-1	1,995269E-2	-7,088006E-1	2,381030E-1	-3,989351E-1	-4,222358E-1	-4,892590E-2	-3,350097E-2
