date,time,X,Y,F,Sensor R1,Sensor R2,Sensor R3,Sensor R4,Sensor R5,Sensor R6,Sensor R7,Sensor R8
2026-04-16,14:58:16.036,-120.0,120.0,10.049156265128776,2.39275,2.52375,2.50975,2.51925,2.697,2.61325,2.49625,3.77
2026-04-16,14:58:16.086,-120.0,120.0,10.06132501210302,2.38825,2.52875,2.508125,2.518625,2.6975000000000002,2.612375,2.496625,3.770125
2026-04-16,14:58:16.100,-120.0,120.0,10.077060009682418,2.38825,2.52875,2.508125,2.518625,2.6975000000000002,2.612375,2.496625,3.770125
2026-04-16,14:58:16.116,-120.0,120.0,10.089648007745936,2.38825,2.52875,2.508125,2.518625,2.6975000000000002,2.612375,2.496625,3.770125
2026-04-16,14:58:16.132,-120.0,120.0,10.10371840619675,2.38825,2.52875,2.508125,2.518625,2.6975000000000002,2.612375,2.496625,3.770125
2026-04-16,14:58:16.167,-120.0,120.0,10.116974724957402,2.38825,2.52875,2.508125,2.518625,2.6975000000000002,2.612375,2.496625,3.770125
2026-04-16,14:58:16.180,-120.0,120.0,10.131579779965922,2.389875,2.524125,2.509875,2.519375,2.6925,2.609875,2.480375,3.77
2026-04-16,14:58:16.196,-120.0,120.0,10.145263823972737,2.389875,2.524125,2.509875,2.519375,2.6925,2.609875,2.480375,3.77
2026-04-16,14:58:16.212,-120.0,120.0,10.15821105917819,2.389875,2.524125,2.509875,2.519375,2.6925,2.609875,2.480375,3.77
2026-04-16,14:58:16.244,-120.0,120.0,10.168568847342552,2.389875,2.524125,2.509875,2.519375,2.6925,2.609875,2.480375,3.77
2026-04-16,14:58:16.260,-120.0,120.0,10.174855077874042,2.389875,2.524125,2.509875,2.519375,2.6925,2.609875,2.480375,3.77
2026-04-16,14:58:16.278,-120.0,120.0,10.175884062299234,2.40525,2.516625,2.509875,2.51725,2.6925,2.612,2.476625,3.76975
2026-04-16,14:58:16.292,-120.0,120.0,10.170707249839388,2.40525,2.516625,2.509875,2.51725,2.6925,2.612,2.476625,3.76975
2026-04-16,14:58:16.324,-120.0,120.0,10.16056579987151,2.40525,2.516625,2.509875,2.51725,2.6925,2.612,2.476625,3.76975
2026-04-16,14:58:16.340,-120.0,120.0,10.144452639897208,2.40525,2.516625,2.509875,2.51725,2.6925,2.612,2.476625,3.76975
2026-04-16,14:58:16.356,-120.0,120.0,10.121562111917767,2.40525,2.516625,2.509875,2.51725,2.6925,2.612,2.476625,3.76975
2026-04-16,14:58:16.404,-120.0,120.0,10.093249689534215,2.399625,2.519375,2.505625,2.51975,2.691,2.617,2.487375,3.770125
2026-04-16,14:58:16.420,-120.0,120.0,10.056599751627374,2.399625,2.519375,2.505625,2.51975,2.691,2.617,2.487375,3.770125
2026-04-16,14:58:16.436,-120.0,120.0,10.0232798013019,2.399625,2.519375,2.505625,2.51975,2.691,2.617,2.487375,3.770125
