channel names:							
025_-174_174_50 - Brücke (V/V) - R0__PXI1Slot2_ai0	025_-174_174_50 - Brücke (V/V) - R1__PXI1Slot2_ai1	025_-174_174_50 - Brücke (V/V) - R2__PXI1Slot2_ai2	025_-174_174_50 - Brücke (V/V) - R3__PXI1Slot2_ai3	025_-174_174_50 - Brücke (V/V) - R4__PXI1Slot2_ai4	025_-174_174_50 - Brücke (V/V) - R5__PXI1Slot2_ai5	025_-174_174_50 - Brücke (V/V) - R6__PXI1Slot2_ai6	025_-174_174_50 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752
dt:							
0,020000							
data:							
2,961731E-1	2,802316E-2	-7,255972E-1	2,326909E-1	-5,312336E-1	-4,340971E-1	-5,113127E-2	-9,900647E-2
2,961850E-1	2,821389E-2	-7,256687E-1	2,327982E-1	-5,313290E-1	-4,339541E-1	-5,138161E-2	-9,901839E-2
2,962327E-1	2,819005E-2	-7,256687E-1	2,328578E-1	-5,311144E-1	-4,339302E-1	-5,111935E-2	-9,906608E-2
2,961612E-1	2,807084E-2	-7,257521E-1	2,328221E-1	-5,312217E-1	-4,339421E-1	-5,116704E-2	-9,918529E-2
2,961373E-1	2,811853E-2	-7,257760E-1	2,325002E-1	-5,311859E-1	-4,340971E-1	-5,136969E-2	-9,910184E-2
2,960658E-1	2,796355E-2	-7,257283E-1	2,322618E-1	-5,311025E-1	-4,342163E-1	-5,141737E-2	-9,910184E-2
2,960539E-1	2,795163E-2	-7,258713E-1	2,322379E-1	-5,311740E-1	-4,342759E-1	-5,140545E-2	-9,901839E-2
2,961254E-1	2,795163E-2	-7,257998E-1	2,324525E-1	-5,311263E-1	-4,340733E-1	-5,140545E-2	-9,894687E-2
2,962327E-1	2,799932E-2	-7,257402E-1	2,326790E-1	-5,311382E-1	-4,340017E-1	-5,133393E-2	-9,901839E-2
2,960896E-1	2,803508E-2	-7,258475E-1	2,325837E-1	-5,312217E-1	-4,340613E-1	-5,136969E-2	-9,901839E-2
2,959943E-1	2,791587E-2	-7,257998E-1	2,323810E-1	-5,309356E-1	-4,341448E-1	-5,133393E-2	-9,891111E-2
2,961015E-1	2,792779E-2	-7,258356E-1	2,324525E-1	-5,310667E-1	-4,342044E-1	-5,142930E-2	-9,899455E-2
2,961731E-1	2,811853E-2	-7,257760E-1	2,326552E-1	-5,311978E-1	-4,342044E-1	-5,142930E-2	-9,913760E-2
2,961612E-1	2,811853E-2	-7,257283E-1	2,328936E-1	-5,311502E-1	-4,340733E-1	-5,125048E-2	-9,910184E-2
2,961969E-1	2,807084E-2	-7,256806E-1	2,330843E-1	-5,311263E-1	-4,339898E-1	-5,107167E-2	-9,900647E-2
2,963161E-1	2,810661E-2	-7,257283E-1	2,330963E-1	-5,311859E-1	-4,340017E-1	-5,131009E-2	-9,901839E-2
2,961731E-1	2,802316E-2	-7,256687E-1	2,328936E-1	-5,310905E-1	-4,340494E-1	-5,139353E-2	-9,901839E-2
